Estado - Sigla;Municipio;Revenda;Nome da Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
SP;CAMPINAS;CENTRO AUTOMOTIVO RIVIERA POMPÉIA LTDA.;AVENIDA MIRANDOPOLIS;VILA POMPEIA;13050-360;GASOLINA;13/01/2021;3,979;R$ / litro;BRANCA
SP;CAMPINAS;CENTRO AUTOMOTIVO RIVIERA POMPÉIA LTDA.;AVENIDA MIRANDOPOLIS;VILA POMPEIA;13050-360;ETANOL;13/01/2021;2,879;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO TERMINAL INTERMODAL DE CARGAS CAMPINAS LTDA;AVENIDA ANTONIO BOSCATO;TERM. INTERM. CARGAS;13069-119;GASOLINA;13/01/2021;4,179;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO TERMINAL INTERMODAL DE CARGAS CAMPINAS LTDA;AVENIDA ANTONIO BOSCATO;TERM. INTERM. CARGAS;13069-119;ETANOL;13/01/2021;2,979;R$ / litro;IPIRANGA
SP;CAMPINAS;POSTO PARQUE TAQUARAL LTDA;RUA ALMEIDA GARRET;TAQUARAL;13087-291;GASOLINA;13/01/2021;4,397;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO PARQUE TAQUARAL LTDA;RUA ALMEIDA GARRET;TAQUARAL;13087-291;ETANOL;13/01/2021;3,097;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO MINGATTO LTDA;AVENIDA IZABELITA VIEIRA;SOUSAS;13024-500;GASOLINA;13/01/2021;4,349;R$ / litro;BRANCA
SP;CAMPINAS;POSTO MINGATTO LTDA;AVENIDA IZABELITA VIEIRA;SOUSAS;13024-500;ETANOL;13/01/2021;3,149;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO ESKEMA LTDA;AVENIDA ANA BEATRIZ BIERREMBACH;VILA MIMOSA;13050-060;GASOLINA;13/01/2021;4,399;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO ESKEMA LTDA;AVENIDA ANA BEATRIZ BIERREMBACH;VILA MIMOSA;13050-060;ETANOL;13/01/2021;3,099;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO DA LAGOA LTDA;AVENIDA HEITOR PENTEADO;JD NOSSA SRA AUXIL;13075-460;GASOLINA;13/01/2021;4,597;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;AUTO POSTO DA LAGOA LTDA;AVENIDA HEITOR PENTEADO;JD NOSSA SRA AUXIL;13075-460;ETANOL;13/01/2021;3,197;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SP;CAMPINAS;POSTO E RESTAURANTE 3 VIAS LTDA;RODOVIA ANHANGUERA;NOVA APARECIDA;13065-830;GASOLINA;13/01/2021;4,299;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO E RESTAURANTE 3 VIAS LTDA;RODOVIA ANHANGUERA;NOVA APARECIDA;13065-830;ETANOL;13/01/2021;2,999;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO JARDIM DO TREVO LTDA;AVENIDA BENEDITO DE CAMPOS;JARDIM DO TREVO;13030-100;GASOLINA;13/01/2021;4,197;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO JARDIM DO TREVO LTDA;AVENIDA BENEDITO DE CAMPOS;JARDIM DO TREVO;13030-100;ETANOL;13/01/2021;2,977;R$ / litro;RAIZEN
SP;CAMPINAS;SERV POSTO OASIS LTDA;AVENIDA BARAO DE ITAPURA;TAQUARAL;13076-000;GASOLINA;13/01/2021;4,299;R$ / litro;IPIRANGA
